Country,Value
Austria,1778.857142857143
Belgium,1489.6
Bulgaria,2182.8571428571427
Croatia,2196.7
Cyprus,3313.8
Denmark,1624.5333333333333
Estonia,1789.0
Finland,1664.44
France,2107.75
Germany,1631.2631578947369
Greece,2652.3875
Hungary,1935.457142857143
Italy,2270.3411764705884
Latvia,1721.25
Lithuania,1733.25
Luxembourg,1630.2
Netherlands,1484.02
Poland,1507.4
Portugal,2453.9166666666665
Romania,2034.2363636363636
Slovakia,1779.0666666666666
Slovenia,1712.1
Spain,2519.886206896552
Sweden,1702.0
Ireland,1424.2549999999999
Malta,2660
Czechia,1584.025
