Country Name,Country Code,Indicator Name,Indicator Code,Gini Index 2019
Austria,AUT,Gini index,SI.POV.GINI,30.2
Belgium,BEL,Gini index,SI.POV.GINI,27.2
Bulgaria,BGR,Gini index,SI.POV.GINI,40.3
Cyprus,CYP,Gini index,SI.POV.GINI,31.2
Czechia,CZE,Gini index,SI.POV.GINI,25.3
Germany,DEU,Gini index,SI.POV.GINI,31.8
Denmark,DNK,Gini index,SI.POV.GINI,27.7
Spain,ESP,Gini index,SI.POV.GINI,34.3
Estonia,EST,Gini index,SI.POV.GINI,30.8
Finland,FIN,Gini index,SI.POV.GINI,27.7
France,FRA,Gini index,SI.POV.GINI,31.2
Greece,GRC,Gini index,SI.POV.GINI,33.1
Croatia,HRV,Gini index,SI.POV.GINI,28.9
Hungary,HUN,Gini index,SI.POV.GINI,30.0
Ireland,IRL,Gini index,SI.POV.GINI,30.8
Italy,ITA,Gini index,SI.POV.GINI,34.6
Lithuania,LTU,Gini index,SI.POV.GINI,35.3
Luxembourg,LUX,Gini index,SI.POV.GINI,34.2
Latvia,LVA,Gini index,SI.POV.GINI,34.5
Malta,MLT,Gini index,SI.POV.GINI,31.0
Netherlands,NLD,Gini index,SI.POV.GINI,29.2
Poland,POL,Gini index,SI.POV.GINI,28.8
Portugal,PRT,Gini index,SI.POV.GINI,32.8
Romania,ROU,Gini index,SI.POV.GINI,34.8
Slovakia,SVK,Gini index,SI.POV.GINI,23.2
Slovenia,SVN,Gini index,SI.POV.GINI,24.4
Sweden,SWE,Gini index,SI.POV.GINI,29.3
