"Country";"Unemployment rate"
"Greece";17.88333
"Spain";14.10833
"Italy";9.933333
"France";8.433333
"Sweden";6.908333
"Finland";6.741667
"Portugal";6.65
"Latvia";6.316667
"Lithuania";6.283333
"Slovakia";5.716667
"Luxembourg";5.591667
"Belgium";5.366667
"Denmark";5.025
"Ireland";5.008333
"Austria";4.841667
"Estonia";4.483333
"Slovenia";4.441667
"Netherlands";4.433333
"Switzerland";4.394452
"Norway";3.875
"Hungary";3.25
"Poland";3.233333
"Germany";2.975
"Czechia";2.016667
"Cyprus";7.1
"Bulgaria";5.2
"Croatia";6.6
