DATAFLOW,LAST UPDATE,freq,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,AT,2004,23.9,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,AT,2005,24.1,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,AT,2006,24.1,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,AT,2007,24.0,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,AT,2008,24.2,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,AT,2009,24.1,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,AT,2010,24.3,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,AT,2011,24.2,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,AT,2012,24.2,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,AT,2013,24.2,b
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,AT,2014,24.2,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,AT,2015,24.3,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,AT,2016,24.2,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,AT,2017,24.4,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,AT,2018,24.8,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,AT,2019,24.6,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,AT,2020,24.6,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,AT,2021,24.4,b
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,AT,2022,24.4,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,AT,2023,24.5,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,BA,2021,27.4,b
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,BA,2022,27.5,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,BA,2023,27.1,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,BE,2000,23.4,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,BE,2001,24.9,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,BE,2002,24.9,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,BE,2003,24.9,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,BE,2004,24.5,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,BE,2005,24.4,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,BE,2006,24.5,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,BE,2007,24.4,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,BE,2008,24.4,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,BE,2009,24.4,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,BE,2010,24.4,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,BE,2011,24.5,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,BE,2012,24.1,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,BE,2013,24.1,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,BE,2014,24.2,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,BE,2015,24.1,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,BE,2016,24.4,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,BE,2017,22.8,b
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,BE,2018,24.3,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,BE,2019,24.5,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,BE,2020,24.8,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,BE,2021,25.4,b
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,BE,2022,25.6,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,BE,2023,25.7,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,BG,2004,25.8,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,BG,2005,26.1,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,BG,2006,26.4,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,BG,2007,26.8,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,BG,2008,27.0,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,BG,2009,26.9,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,BG,2010,27.4,b
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,BG,2011,27.5,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,BG,2012,27.1,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,BG,2013,26.8,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,BG,2014,26.8,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,BG,2015,26.8,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,BG,2016,27.0,
