Country;Value
 Afghanistan;0.1
 Albania;5.1
 Algeria;0.6
 Andorra;11.1
 Angola;6.2
 Antigua and Barbuda;8.5
 Argentina;8.0
 Armenia;5.0
 Australia;10.1
 Austria;12.0
 Azerbaijan;2.0
 Bahamas;4.4
 Bahrain;1.6
 Bangladesh;0.1
 Barbados;9.5
 Bhutan;0.2
 Belarus;10.9
 Belgium;10.3
 Belize;5.7
 Benin;8.3
 Bolivia;4.1
 Bosnia and Herzegovina;6.4
 Botswana;8.2
 Brazil;7.7
 Brunei;0.4
 Bulgaria;11.9
 Burkina Faso;9.8
 Burundi;4.1
 Cambodia;8.5
 Cameroon;10.1
 Canada;9.9
 Cape Verde;6.3
 Central African Republic;2.0
 Chad;3.7
 Chile;6.7
 China;5.7
 Colombia;4.9
 Comoros;0.3
 Congo;6.4
 Cook Islands;10.6
 Costa Rica;3.5
 Ivory Coast;2.8
 Croatia;8.5
 Cuba;6.0
 Cyprus;8.1
 Czechia;13.3
 Denmark;9.4
 Djibouti;0.4
 Dominica;6.1
 Dominican Republic;6.8
 DR Congo;2.1
 Ecuador;3.3
 Egypt;0.1
 Equatorial Guinea;6.9
 El Salvador;3.3
 Eritrea;1.2
 Estonia;11.3
 Eswatini[c];8.1
 Ethiopia;3.4
 Fiji;3.4
 Finland;9.2
 France;11.3
 Gabon;7.3
 Gambia;1.1
 Georgia;14.3
 Germany;12.2
 Ghana;4.5
 Greece;7.1
 Grenada;8.1
 Guatemala;1.6
 Guinea;0.5
 Guinea-Bissau;4.1
 Guyana;5.3
 Haiti;3.5
 Honduras;3.2
 Hungary;10.6
 Iceland;8.1
 India;4.9
 Indonesia;0.1
 Iran;0.7
 Iraq;0.2
 Ireland;11.7
 Israel;3.0
 Italy;8.0
 Jamaica;3.6
 Japan;6.7
 Jordan;0.3
 Kazakhstan;4.5
 Kenya;2.9
 Kiribati;0.8
 Kuwait;0.1
 Kyrgyzstan;5.0
 Laos;11.5
 Latvia;13.1
 Lebanon;1.5
 Lesotho;4.5
 Liberia;3.6
 Libya;0.1
 Lithuania;11.8
 Luxembourg;11.5
 Macedonia;4.6
 Madagascar;1.0
 Malawi;3.2
 Malaysia;0.8
 Maldives;1.4
 Mali;4.3
 Malta;8.5
 Mauritania;0.1
 Mauritius;7.5
 Mexico;5.7
 Micronesia;2.1
 Moldova;11.4
 Mongolia;7.9
 Montenegro;10.3
 Morocco;0.5
 Mozambique;2.0
 Myanmar;2.1
 Namibia;5.9
 Nauru;2.9
   Nepal;1.4
 Netherlands;9.3
 Netherlands Antilles;–
 New Caledonia;–
 New Zealand;9.9
 Nicaragua;4.2
 Niger;0.1
 Nigeria;4.2
 Niue;9.3
 North Korea;4.3
 Norway;6.8
 Oman;0.9
 Pakistan;0.1
 Panama;6.6
 Papua New Guinea;1.7
 Paraguay;5.6
 Peru;7.5
 Philippines;6.2
 Poland;11.6
 Portugal;10.4
 Qatar;1.1
 Romania;17.0
 Russia;10.4
 Rwanda;1.9
 Saint Kitts and Nevis;6.3
 Saint Lucia;9.5
 Saint Vincent and the Grenadines;7.2
 Samoa;2.4
 São Tomé and Príncipe;5.0
 Saudi Arabia;0.1
 Senegal;0.4
 Serbia;7.9
 Seychelles;12.0
 Sierra Leone;0.3
 Singapore;1.9
 Slovakia;10.5
 Slovenia;11.0
 Solomon Islands;1.6
 Somalia;0.1
 South Africa;8.8
 South Korea;8.2
 Spain;10.9
 Sri Lanka;2.8
 Sudan;0.1
 Suriname;6.6
 Syria;0.2
 Sweden;9.3
  Switzerland;10.4
 Tajikistan;0.9
 Tanzania;10.4
 Thailand;7.8
 East Timor;0.4
 Togo;1.4
 Tonga;0.4
 Trinidad and Tobago;6.1
 Tunisia;2.0
 Turkey;1.8
 Turkmenistan;2.9
 Tuvalu;1.2
 Uganda;12.2
 Ukraine;8.7
 United Arab Emirates;2.4
 United Kingdom;10.8
 United States;9.6
 Uruguay;5.5
 Uzbekistan;2.6
 Vanuatu;1.9
 Venezuela;3.0
 Vietnam;9.3
 Yemen;0.1
 Zambia;3.9
 Zimbabwe;3.6
