Country,Value
AFGHANISTAN ISLAMIC STATE OF,2995.63
ARGENTINA,1984.0117647058821
ARGENTINA (ANTARCTIC STATIONS),90.0
ARMENIA,2457.5
AUSTRALIA,2746.77
AUSTRALIA (ANTARCTIC STATIONS),1644.15
AUSTRIA,1778.857142857143
AZERBAIJAN,2151.8777777777777
BAHAMAS,2878.4
BAHRAIN,3353.6
BELARUS,1782.0
BELGIUM,1489.6
BELIZE,1915.9
BENIN,2489.82
BOSNIA AND HERZEGOVINA,1769.4
BRAZIL,2270.202475247525
BRUNEI DARUSSALAM,2558.0
BULGARIA,2182.8571428571427
CAMEROON,2250.9777777777776
CAPE VERDE,819.6
CHAD,3200.5833333333335
CHINA,2402.1305555555555
COLOMBIA,1981.69375
COLOMBIA (SAN ANDRES AND PROVIDENCIA ISLANDS),2626.2
COSTA RICA,2257.7999999999997
CROATIA,2196.7
CYPRUS,3313.8
CZECH REPUBLIC,1584.025
DENMARK,1624.5333333333333
DJIBOUTI,3265.8
DOMINICA,2629.4
DOMINICAN REPUBLIC,2035.207142857143
EGYPT,3468.7083333333335
ERITREA,2921.9
ESTONIA,1789.0
FIJI,2122.35
FINLAND,1664.44
FRANCE,2107.75
"FRANCE (CARIBBEAN ISLANDS, GUADELOUPE, MARTINIQUE)",-2660.275
FRANCE (FRENCH DEPARTMENT OF GUYANA),2175.2
FRANCE (ISLANDS IN THE INDIAN OCEAN),1590.5
FRENCH POLYNESIA,2542.7
GABON,1473.4285714285713
GEORGIA,1986.5
GERMANY,1631.2631578947369
GREECE,2652.3875
GREENLAND,1573.875
GUINEA,2453.0
GUYANA,2460.6
HONDURAS,2751.4
HONG KONG,1948.1
HUNGARY,1935.457142857143
ICELAND,1156.9
INDIA,2617.3500000000004
"IRAN, ISLAMIC REPUBLIC OF",2826.128571428572
ISRAEL,2271.933333333333
ITALY,2270.3411764705884
IVORY COAST,2127.7599999999998
JAPAN,1831.8585987261147
JORDAN,3306.0
KAZAKSTAN (ASIA),2599.653846153846
KAZAKSTAN (EUROPE),2199.0
KENYA,2943.32
"KOREA, REPUBLIC OF",2164.8
KUWAIT,3000.5
KYRGYZ REPUBLIC,2579.0
LAO PEOPLE'S DEMOCRATIC REPUBLIC,2353.1
LATVIA,1721.25
LITHUANIA,1733.25
LUXEMBOURG,1630.2
MADAGASCAR,2902.6071428571427
MALAWI,2795.7799999999997
MALAYSIA,2316.9615384615386
MALDIVES,2778.2
MALI,2862.305263157895
MAURITIUS,2771.5
MEXICO,2534.188888888889
"MOLDOVA, REPUBLIC OF",2126.0
MONGOLIA,2935.2200000000003
MOROCCO,3016.0285714285715
NETHERLANDS,1484.02
NETHERLANDS ANTILLES AND ARUBA,3002.0
NEW CALEDONIA,2485.7799999999997
NICARAGUA,2427.9166666666665
NIGER,1655.1583333333335
NIGERIA,2394.2799999999997
NORWAY,1197.2
OMAN,3272.525
PAKISTAN,3048.67619047619
POLAND,1507.4
PORTUGAL,2453.9166666666665
PORTUGAL (MADEIRA),2165.0
QATAR,3432.9
ROMANIA,2034.2363636363634
RUSSIAN FEDERATION (ASIA),1947.090909090909
RUSSIAN FEDERATION (EUROPE),1862.4038461538462
SENEGAL,3007.277777777778
SEYCHELLES,2527.7
SIERRA LEONE,2008.8166666666668
SINGAPORE,2022.4
SLOVAKIA,1779.0666666666666
SLOVENIA,1712.1
SOUTH AFRICA,2838.8
SPAIN,2519.886206896552
"SPAIN (CANARY ISLANDS, CEUTA AND MELILLA)",2708.6
SRI LANKA,2621.3
SWEDEN,1702.0
SWITZERLAND,1748.925
SYRIAN ARAB REPUBLIC,3077.988888888889
TAJIKISTAN,2699.0
THAILAND,2643.505882352941
THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA,2205.025
TOGO,2465.3
TRINIDAD AND TOBAGO,2610.4
TUNISIA,3076.1142857142854
TURKMENISTAN,2898.9333333333334
UKRAINE,2053.3333333333335
UNITED ARAB EMIRATES,3494.1400000000003
UNITED KINGDOM OF GREAT BRITAIN & NORTHERN IRELAND,1424.2549999999999
UNITED STATES OF AMERICA,2734.5593548387096
UNITED STATES OF AMERICA (PACIFIC ISLANDS),2467.3153846153846
URUGUAY,2469.4727272727273
UZBEKISTAN,2839.15
VENEZUELA,2593.35
YUGOSLAVIA,2252.8
ZAMBIA,2853.0040000000004
ZIMBABWE,2581.2285714285713
footnoteSeqID,
