"Unemployment rate"
"Total, % of labour force, 2019"
"Category";"Total"
"Greece";17,88333
"Spain";14,10833
"Türkiye";13,74167
"Costa Rica";11,75539
"Colombia";10,37083
"Italy";9,933333
"France";8,433333
"Chile";7,22264
"Sweden";6,908333
"Finland";6,741667
"Portugal";6,65
"Latvia";6,316667
"Lithuania";6,283333
"Slovak Rep.";5,716667
"Canada";5,691667
"Luxembourg";5,591667
"OECD";5,414184
"Belgium";5,366667
"Australia";5,165067
"Denmark";5,025
"Ireland";5,008333
"Austria";4,841667
"Estonia";4,483333
"Slovenia";4,441667
"Netherlands";4,433333
"Switzerland";4,394452
"New Zealand";4,1
"Iceland";3,933333
"Norway";3,875
"United Kingdom";3,825
"Israel";3,8
"Korea";3,783333
"United States";3,666667
"Mexico";3,490462
"Hungary";3,25
"Poland";3,233333
"Germany";2,975
"Japan";2,35
"Czechia";2,016667
